,License,Software,Description,Name,Type,Software - #,Contact
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,Free,,,Abacus,,,
489,Free,,,ASUE,,,
490,GNU GPL,,,App::ErrorCalculator,,,
491,MIT,,,Chaospy,,,
492,Un­known,,,Colby College Uncertainty Calculator,,,
493,Free for private and academic use,,,Dempster Shafer with Intervals (DSI) Toolbox,,,
494,GNU LGPL,,,EasyVVUQ,,,
495,Proprietary,,,Experimental Data Analyst (EDA),,,
496,GNU GPL,,,EPC: error-propagating calculator,,,
497,Proprietary,,,ErrorCalc iPhone/iPad calculator app,,,
498,Free,,,Error Propagation Calculator,,,
499,BSD,,,FuncDesigner,,,
500,Free but copyrighted,,,fussy,,,
501,GNU GPL,,,GUM_MC,,,
502,Proprietary,,,GUMsim,,,
503,"Proprietary, freeware single-user, nontransferable",,,GUM Tree Calculator (GTC),,,
504,Proprietary,,,GUM Workbench,,,
505,GNU GPL,,,Gustavus Adolphus error propagation calculator,,,
506,GNU GPL,,,gvar,,,
507,Creative Commons,,,laffers.net error propagation calculator,,,
508,Free,,,LNE-MCM,,,
509,Free,,,MCM Alchimia,,,
510,"Proprietary, freeware noncommercial use",,,Measurement Software Toolkit,,,
511,MIT,,,Measurements.jl,,,
512,MIT,,,MonteCarloMeasurements.jl,,,
513,"Free, GPL",,,metRology package for R,,,
514,GNU GPL,,,MetroloPy,,,
515,"Proprietary, freeware noncommercial use",,,MUSE,,,
516,"Proprietary freeware, no redistribution",,,METAS UncLib,,,
517,public domain,,,NIST Uncertainty Machine,,,
518,GNU GPL,,,Number::WithError,,,
519,Un­known,,,Uncertainty Calculator; Wilfrid Laurier University,,,
520,GNU GPL,,,propagate,,,
521,Proprietary,,,Risk Calc,,,
522,GNU GPL,,,SCaViS,,,
523,BSD,,,soerp,,,
524,Un­known,,,S&T Missouri Uncertainty Calculator,,,
525,Free for non-commercial use,,,Uncertainty Calculator,,,
526,Proprietary,,,QMSys GUM,,,
527,Free,,,MC-Ed,,,
528,GNU GPL,,,OpenCOSSAN,,,
529,GNU LGPL,,,OpenTURNS,,,
530,Proprietary,,,SmartUQ,,,
531,BSD,,,uncertainties,,,
532,BSD scientific modules. Free for academic use,,,UQLab[4],,,
533,MIT,,,UQpy,,,
534,BSD,,,UncertaintyWrapper,,,
535,,,,MCM Alchimia,,,
536,,,,Ceiton,,,
537,,,,Chrometa,,,
538,,,,Clarizen,,,
539,,,,Everhour,,,
540,,,,Fanurio,,,
541,,,,FogBugz,,,
542,,,,FreshBooks,,,
543,,,,Grindstone,,,
544,,,,Group-Office,,,
545,,,,Harvest,,,
546,,,,Hubstaff,,,
547,,,,Instant,,,
548,,,,LiquidPlanner,,,
549,,,,ManicTime,,,
550,,,,Redmine,,,
551,,,,Replicon,,,
552,,,,Talygen,,,
553,,,,Teamwork,,,
554,,,,Tick,,,
555,,,,TimeCamp,,,
556,,,,Time Clock Wizard,,,
557,,,,Time Doctor,,,
558,,,,TimeTiger,,,
559,,,,Timewarrior,,,
560,,,,TMetric,,,
561,,,,Toggl,,,
562,,,,Tracker,,,
563,,,,TSheets,,,
564,,,,Xpert-Timer,,,
565,,,,ZipBooks,,,
566,,,,Zoho Projects,,,
567,GPLv2,,A tool to analyse logistics/queuing models in all types of applications.,CPN Tools,Application,,
568,Apache 2.0,,"A framework for discrete-event simulation in Java, supporting hybrid event/process models and providing animation in 2D and 3D.",DESMO-J,Library,,
569,LGPLv3,,A discrete-event simulation/emulation library.,Facsimile,Library,,
570,"AFL, GPLv2",,An integrated tool for hybrid systems modeling and simulation based on the DEVS formalism.,PowerDEVS,Application,,
571,BSD,,A software framework supporting experimentation with actor-oriented design.[18],Ptolemy II,Library,,
572,LGPL,,SIM.JS is a general-purpose Discrete Event Simulation library written entirely in JavaScript. Runs in browser and a GUI-based modeling tool is supported.,SIM.JS,Library,,
573,MIT,,SimPy is a process-based discrete-event simulation framework based on standard Python.[21],SimPy,Library,,
574,,,A programming language designed specifically for simulation.,Simula,Language,,
575,Apache 2.0,,A set of C++ classes and macros which provide an event-driven simulation kernel.,SystemC,Library,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,,,,,,,
585,,,,,,,
586,,,,,,,
587,,,,,,,
588,,,,,,,
589,Free software,,Client-side implementation with plugins for various services/protocols,,,,
590,Proprietary,,Claims-based system and application federation,,,,
591,Proprietary,,"Enterprise cloud-based identity and access management solution with single sign-on, active directory integration and 2-factor authentication options",,,,
592,Free & Open Source (Apache 2.0),,"Protocol and open-source SSO server/client implementation with support for CAS, SAML1, SAML2, OAuth2, SCIM, OpenID Connect and WS-Fed protocols both as an identity provider and a service provider with other auxiliary functions that deal with user consent, access management, impersonation, terms of use, etc. Licensed under Apache 2.0.",,,,
593,Academic,,SSO for University of Michigan,,,,
594,Free Software,,,,,,
595,Proprietary,,Facebook SSO to third parties enabled by Facebook,,,,
596,Free Software,,,,,,
597,Proprietary,,Web and Federated Single Sign-On Solution,,,,
598,Free software,,"Works with Kerberos (e.g. Active Directory) and other authentication mechanisms to map different identities and hence allow single signon to all IBM server platforms (Windows, Linux, PowerLinux, IBM i, i5/OS, OS/400, AIX) even when the user name differs.",,,,
599,Proprietary,,,,,,
600,Proprietary,,,,,,
601,Proprietary,,Social and conventional user SSO,,,,
602,Free Software,,Open Source Single Sign-On Server,,,,
603,Open source,,"Federated SSO (LDAP and Active Directory), standard protocols (OpenID Connect, OAuth 2.0 and SAML 2.0) for Web, clustering and single sign on. Red Hat Single Sign-On is version of Keycloak for which RedHat provides commercial support.",,,,
604,Proprietary,,"Cloud-based Customer Identity and Access Management with User Registration, Social login, Federated SSO(SAML 1.1, Saml 2.0, Oauth2, JWT, Multipass, etc.), and Web single sign on.",,,,
605,Proprietary,,Microsoft single sign-on web service,,,,
606,Proprietary,,Cloud single sign-on,,,,
607,Proprietary,,"Access Management, Federation and Risk-Based Access Control platform",,,,
608,Proprietary,,"Single sign-on system for Windows (OpenID RP & OP, SAML IdP, and proprietary)",,,,
609,Proprietary,,Cloud-based identity and access management with single sign-on (SSO) and active directory integration,,,,
610,Proprietary,,"Identity and access management solutions to IdPs and SPs enabling access management to web-based resources. Fully hosted service with several directory integration options, dedicated support team. Maintains OpenAthens Federation. SAML 1.1, SAML 2.0, SSO, self-reg, compatibility with Shibboleth, API.",,,,
611,CDDL,,"Access management, entitlements and federation server platform",,,,
612,Proprietary,,Identity and Access Management Suite of products from Oracle,,,,
613,Proprietary,,Enterprise Single-Sign-On,,,,
614,Free & Open Source (Apache 2.0),,SAML-based open source access control,,,,
615,Proprietary,,OpenID-based SSO for Launchpad and Ubuntu services,,,,
616,Free & Open Source,,Enterprise IAM with single sign-on using SAML,,,,
617,Free & Open Source (Apache 2.0),,"SAML 2.0, OpenID, OpenID Connect, OAuth 2.0, SCIM, XACML, Passive Federation",,,,
618,Free Software,,Reference Implementation of TAS3 security,,,,
619,,,,,,,
620,,,,,,,
621,,,,,,,
622,,,,,,,
623,,,,,,,
624,,,,,,,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,,,,,,,
630,,,,,,,
631,,,,,,,
632,,,,,,,
633,,,,,,,
634,,,,,,,
635,,,,,,,
636,,,,,,,
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,,,,,,,
641,,,,,,,
642,,,,,,,
643,,,,,,,
644,,,,,,,
645,,,,,,,
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,,,,,,,
653,,,,,,,
654,,,,,,,
655,,,,,,,
656,,,,,,,
657,,,,,,,
658,,,,,,,
659,,,,,,,
660,,,,,,,
661,,,,,,,
662,,,,,,,
663,,,,,,,
664,,,,,,,
665,,,,,,,
666,,,,,,,
667,,,,,,,
668,,,,,,,
669,,,,,,,
670,,,,,,,
671,,,,,,,
672,,,,,,,
673,,,Graph-theoretical analyses of functional connectivity,Brain Connectivity Toolbox[1],,,
674,,,Explore Hierarchical Processes of the functional brain networks,Brain Modulyzer [2],,,
675,,,Brain network visualization tool,BrainNet viewer[3],,,
676,,,Brain connectivity extraction and analysis,Brainwaver[4],,,
677,,,Functional connectivity analysis pipeline,C-PAC[5],,,
678,,,Functional connectivity analysis and display tool,CONN[6],,,
679,,,Visualization and discovery tool,Connectome workbench,,,
680,,,Task-related functional connectivity analysis,cPPI[7],,,
681,,,Dynamic Causal Modelling analysis,DCM[8],,,
682,,,Functional and tractographic connectivity analysis,FATCAT[9],,,
683,,,Seed-based functional connectivity analysis,FSFC[10],,,
684,,,Tool for visual analysis of functional connectivity,Fubraconnex[11],,,
685,,,Independent component analysis,GIFT[12],,,
686,,,Task-related functional connectivity analysis,gPPI[13],,,
687,,,Graph theory analysis and fMRI preprocessing pipeline,Graph Theoretic GLM Toolbox[14],,,
688,,,Graph-theoretical analysis tool,Graphvar[15],,,
689,,,Independent component analysis,MELODIC[16],,,
690,,,Neuroimaging analysis library,NIAK[17],,,
691,,,Machine learning for Neuro-Imaging in Python,nilearn[18],,,
692,,,Resting-state functional connectivity analysis tool,REST[19],,,
693,Proprietary,,,ARBIMON II,,,
694,GPL v2,,,Audacity,,,
695,Proprietary,,,Avisoft-SASLab Pro,,,
696,Freeware,,,Avisoft-SASLab Lite,,,
697,Proprietary,,,Avisoft-RECORDER,,,
698,Proprietary,,,Anabat Insight,,,
699,Proprietary,,,BCID,,,
700,GPL v2,,,Luscinia,,,
701,GPL v2,,,Praat,,,
702,Proprietary,,,Raven,,,
703,Proprietary,,,SeaWave & SeaPro,,,
704,Proprietary,,,Sonobat,,,
705,GPL v2,,,Sound Analysis Pro 2011,,,
706,GPL v2,,,SoundRuler,,,
707,Freeware,,,Syrinx-PC,,,
708,GPL,,,VAMP,,,
709,Proprietary,,,Song Scope,,,
710,Proprietary,,,Kaleidoscope,,,
711,GPL v3,,,bioacoustics,,,
712,GPL v2,,,monitoR,,,
713,GPL v2,,,seewave,,,
714,Freeware,,,BatScope 3,,,
715,"Proprietary, Freeware",,,BatExplorer,,,
716,Proprietary,,,bcAdmin-bcAnalyze-batident,,,
717,GPL3,,,PAMGuard,,,
718,GPL v3,,,AviaNZ,,,
719,,Software,,,,,
720,,AIDA,,,,,
721,,Algebrator,,,,,
722,,Archim,,,,,
723,,Baudline,,,,,
724,,D3js,,,,,
725,,DADiSP,,,,,
726,,DAP,,,,,
727,,Datacopia,,,,,
728,,DataGraph,,,,,
729,,DataScene,,,,,
730,,EditGrid,,,,,
731,,EJS,,,,,
732,,Epi Info,,,,,
733,,EViews,,,,,
734,,Fityk,,,,,
735,,FlexPro,,,,,
736,,FreeMat,,,,,
737,,FusionCharts,,,,,
738,,GeoGebra,,,,,
739,,Gephi,,,,,
740,,ggplot2,,,,,
741,,Gnumeric,,,,,
742,,GNU Octave,,,,,
743,,Gnuplot,,,,,
744,,GrADS,,,,,
745,,GraphPad Prism,,,,,
746,,Grace,,,,,
747,,Graphviz,,,,,
748,,gretl,,,,,
749,,HippoDraw,,,,,
750,,IGOR Pro,,,,,
751,,ILNumerics,,,,,
752,,Ipe,,,,,
753,,JFreeChart,,,,,
754,,JMP,,,,,
755,,KChart,,,,,
756,,Kig,,,,,
757,,LabPlot,,,,,
758,,LabVIEW,,,,,
759,,LiSiCA,,,,,
760,,MagicPlot,,,,,
761,,Maple,,,,,
762,,MathCad,,,,,
763,,Mathematica,,,,,
764,,MATLAB,,,,,
765,,Maxima,,,,,
766,,MayaVi,,,,,
767,,MedCalc,,,,,
768,,Microsoft Excel,,,,,
769,,NCSS (statistical software),,,,,
770,,Nucalc,,,,,
771,,Numbers (iWork),,,,,
772,,OpenDX,,,,,
773,,OpenOffice.org Calc,,,,,
774,,OpenPlaG,,,,,
775,,Orange,,,,,
776,,Origin,,,,,
777,,ParaView,,,,,
778,,PDL,,,,,
779,,PGPLOT,,,,,
780,,ploticus,,,,,
781,,Plotly,,,,,
782,,plotutils,,,,,
783,,PLplot,,,,,
784,,PSPP,,,,,
785,,QtiPlot,,,,,
786,,R,,,,,
787,,RAWGraphs,,,,,
788,,ROOT,,,,,
789,,RRDtool,,,,,
790,,S-PLUS,,,,,
791,,S,,,,,
792,,SAS System,,,,,
793,,Scilab,,,,,
794,,"SciPy, NumPy, matplotlib modules for Python",,,,,
795,,SOCR,,,,,
796,,Sonic Visualiser,,,,,
797,,SPSS,,,,,
798,,Stata,,,,,
799,,Statgraphics,,,,,
800,,Statistical Lab,,,,,
801,,Systat,,,,,
802,,SymPy,,,,,
803,,Sysquake,,,,,
804,,SciDAVis,,,,,
805,,SigmaPlot,,,,,
806,,TAChart,,,,,
807,,Tableau,,,,,
808,,Tecplot,,,,,
809,,Teechart,,,,,
810,,think-cell chart,,,,,
811,,Veusz,,,,,
812,,Visifire,,,,,
813,,VisIt,,,,,
814,,Webix,,,,,
815,,World Programming System (WPS Analytics),,,,,
816,,XGraph,,,,,
817,,Zoho Office Suite,,,,,
818,,,,balenaEtcher,,,
819,,,,DasBoot,,,
820,,,,Fedora Media Writer,,,
821,,,,GNU dd,,,
822,,,,LinuxLive USB Creator (LiLi),,,
823,,,,remastersys,,,
824,,,,Rufus,,,
825,,,,SliTaz TazUSB,,,
826,,,,Ubuntu Live USB creator,,,
827,,,,UNetbootin,,,
828,,,,Universal USB Installer (UUI),,,
829,,,,Ventoy,,,
830,,,,Windows To Go,,,
831,,,,,,,
832,,,,,,,
833,,,,,,,
834,,,,,,,
835,,,,,,,
836,,,,,,,
837,,,,,,,
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,,,,,,,
843,,,,,,,
844,,,,,,,
845,,,,,,,
846,,,,,,,
847,,,,,,,
848,,,,,,,
849,,,,,,,
850,,,,,,,
851,,,,,,,
852,,,,,,,
853,,,,,,,
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,,,,,,,
858,,,,DFSee,,,
859,,,,Disk Director,,,
860,,,,Disk Utility,,,
861,,,,diskpart,,,
862,,,,fdisk (FreeDOS),,,
863,,,,fdisk (Microsoft),,,
864,,,,fdisk (OS/2),,,
865,,,,fdisk (Unix-like),,,
866,,,,FIPS,,,
867,,,,GNOME Disks,,,
868,,,,"GNU Parted CLI-only (GUIs: Gparted, QtParted)",,,
869,,,,GParted (GUI for GNU Parted),,,
870,,,,gdisk (GPT fdisk),,,
871,,,,KDE Partition Manager,,,
872,,,,Logical Disk Manager,,,
873,,,,ntfsresize,,,
874,,,,Parted Magic,,,
875,,,,Partition Commander,,,
876,,,,PartitionMagic,,,
877,,,,Partition Manager,,,
878,,,,Partition Master,,,
879,,,,QtParted (GUI for GNU Parted),,,
880,,,,Ranish Partition Manager,,,
881,,,,Solaris format utility,,,
882,MIT License,Computer Vision Annotation Tool (CVAT),"Computer Vision Annotation Tool (CVAT) is a free, open source, web-based annotation tool which helps to label video and images for computer vision algorithms. CVAT has many powerful features: interpolation of bounding boxes between key frames, automatic annotation using TensorFlow OD API and deep learning models in Intel OpenVINO IR format, shortcuts for most of critical actions, dashboard with a list of annotation tasks, LDAP and basic authorizations, etc. It was created for and used by a professional data annotation team. UX and UI were optimized especially for computer vision annotation tasks.",,,,
883,MIT License,ImageTagger,"An online platform for collaborative image labeling. It allows bounding box, polygon, line and point annotations and includes user, image and annotation management, annotation verification and customizable export formats.",,,,
884,MIT License,LabelMe,Online annotation tool to build image databases for computer vision research.,,,,
885,Custom License,RectLabel,An image annotation tool to label images for bounding box object detection and segmentation.[13],,,,
886,BSD-2 clause license,VGG Image Annotator (VIA),"VIA is a simple and standalone manual annotation tool for images, audio and video. This is a light weight, standalone and offline software package that does not require any installation or setup and runs solely in a web browser. The VIA software allows human annotators to define and describe spatial regions in images or video frames, and temporal segments in audio or video. These manual annotations can be exported to plain text data formats such as JSON and CSV and therefore are amenable to further processing by other software tools. VIA also supports collaborative annotation of a large dataset by a group of human annotators. The BSD open source license of this software allows it to be used in any academic project or commercial application.[15]",,,,
887,MIT License,VoTT (Visual Object Tagging Tool),Free and open source electron app for image annotation and labeling developed by Microsoft.,,,,
888,Proprietary,,,,,,
889,Proprietary,,,,,,
890,,,,,,,
891,Proprietary.,,,,,,
892,,,,,,,
893,Proprietary. Analytical extensions can be purchased separately.,,,,,,
894,BSD license,,,,,,
895,GPL-2,,,,,,
896,Freeware,,,,,,
897,BSD license,,,,,,
898,BSD license,,,,,,
899,Freeware,,,,,,
900,GPL,,,,,,
901,GPL,,,,,,
902,GPL,,,,,,
903,GPL,,,,,,
904,Freeware,,,,,,
905,Freeware (terms[permanent dead link]),,,,,,
906,Freeware,,,,,,
907,Freeware,,,,,,
908,GPL,,,,,,
909,,,,,,,
910,Freeware,,,,,,
911,Freeware,,,,,,
912,OpenSource,,,,,,
913,GPL,,,,,,
914,GPL,,,,,,
915,Freeware,,,,,,
916,Proprietary,,,,,,
917,LGPL,,,,,,
918,Proprietary,,,,,,
919,Proprietary,,,,,,
920,Proprietary,,,,,,
921,,,It describes several protein sequence statistics for the evaluation of distinctive characteristics of residue content and arrangement in primary structures.,SAPS,,,
922,,,"It is a two pass algorithm: first, identifies the LCR, and then performs local optimization by masking with Xs the LCRs",SEG,,,
923,,,"It can readily handle very large protein data sets, such as might come from metagenomics projects. It is useful in searching for proteins with similar CBRs and for making functional inferences about CBRs for a protein of interest",fLPS,,,
924,,,It identifies LCRs using dynamic programming.,CAST,,,
925,,,It facilitates the quantification of the amount of simple sequence in proteins and determines the type of short motifs that show clustering above a certain threshold.,SIMPLE,,,
926,,,A tool for demarcating low complexity protein domains.,Oj.py,,,
927,,,It calculates complexity using reciprocal complexity.,DSR,,,
928,,,Calculates the compositional complexity using the linguistic complexity measure.,ScanCom,,,
929,,,"Based on the complexity analysis of subsequences delimited by pairs of identical, repeating subsequences.",CARD,,,
930,,,It uses discrete scan statistics that provide a highly accurate multiple test correction to compute analytical estimates of the significance of each compositionally biased segment.,BIAS,,,
931,,,A graph-based algorithm that constructs a graph of the sequence.,GBA,,,
932,,,A graph-based approach for the detection and identification of repetitive elements in low–complexity sequences.,SubSeqer,,,
933,,,This method creates an automation of the sequence analytic process.,ANNIE,,,
934,,,This algorithm defines compositional bias through a thorough search for lowest-probability subsequences (LPSs; Low Probability Sequences) and serves as workbench of tools now available to molecular biologists to generate hypotheses and inferences about the proteins that they are investigating.,LPS-annotate,,,
935,,,"A web platform to search, visualize and share data for low complexity regions in protein sequences. LCR-eXXXplorer offers tools for displaying LCRs from the UniProt/SwissProt knowledgebase, in combination with other relevant protein features, predicted or experimentally verified. Also, users may perform queries against a custom designed sequence/LCR-centric database.",LCReXXXplorer,,,
936,,,It uses the PAM120 scoring matrix for the calculation of complexity.,XNU,,,
937,,,Automated software package to annotate eukaryotic genes from RNA-Seq data and associated protein sequences,FINDER,,,
938,,,Predicting genes in complete genomes and sequencing Reads,FragGeneScan,,,
939,,,Identifies translational initiation sites in cDNA sequences,ATGpr,,,
940,,,Its name stands for Prokaryotic Dynamic Programming Genefinding Algorithm. It is based on log-likelihood functions and does not use Hidden or Interpolated Markov Models.,PRODIGAL,,,
941,,,Eukaryote gene predictor,AUGUSTUS,,,
942,,,Hidden Markov model (HMM) and dynamic programming based ab initio gene prediction program,BGF,,,
943,,,Fast detection of coding regions in short genome sequences,DIOGENES,,,
944,,,Program to recognize vertebrate RNA polymerase II promoters,Dragon Promoter Finder,,,
945,,,Integrative gene finding,EUGENE,,,
946,,,"HMM-based gene structure prediction: multiple genes, both chains",FGENESH,,,
947,,,Find genes and frameshift in G+C rich prokaryote sequences,FRAMED,,,
948,,,Homology-based gene prediction based on amino acid and intron position conservation as well as RNA-Seq data,GeMoMa,,,
949,,,Links ORFs in complete genomes to protein 3D structures,GENIUS,,,
950,,,"Program to predict genes, exons, splice sites, and other signals along DNA sequences",geneid,,,
951,,,Parse DNA sequences into introns and exons,GENEPARSER,,,
952,,,Family of self-training gene prediction programs,GeneMark,,,
953,,,Predicts genes with frameshifts in prokaryote genomes,GeneTack,,,
954,,,Predicts locations and exon-intron structures of genes in genome sequences from a variety of organisms,GENOMESCAN,,,
955,,,Finds genes using Fourier transform,GENSCAN,,,
956,,,Finds genes in microbial DNA,GLIMMER,,,
957,,,Eukaryotic gene-finding system,GLIMMERHMM,,,
958,,,"Predicts exons, genes, promoters, polyas, CpG islands, EST similarities, and repeat elements in DNA sequence",GrailEXP,,,
959,,,Support-vector machine (SVM) based system to find genes,mGene,,,
960,,,"SVM based system to find genes using heterogeneous information: RNA-seq, tiling arrays",mGene.ngs,,,
961,,,Decision tree system to find genes in vertebrate DNA,MORGAN,,,
962,,,"Web tool to combine results from different programs: GRAIL, FEX, HEXON, MZEF, GENEMARK, GENEFINDER, FGENE, BLAST, POLYAH, REPEATMASKER, TRNASCAN",NIX,,,
963,,,Neural network promoter prediction,NNPP,,,
964,,,Neural network splice site prediction,NNSPLICE,,,
965,,,Graphical analysis tool to find all open reading frames,ORF FINDER,,,
966,,,Series of modular computer programs to detect regulatory signals in non-coding sequences,Regulatory Sequence Analysis Tools,,,
967,,,A tool to annotate phage genomes.,PHANOTATE,,,
968,,,Series of modular computer programs to detect regulatory signals in non-coding sequences,Regulatory Sequence Analysis Tools,,,
969,,,Method to identify potential splice sites in (plant) pre-mRNA by sequence inspection using Bayesian statistical models,SPLICEPREDICTOR,,,
970,,,Hidden Markov model to find genes in vertebrate DNA Server,VEIL,,,
971,,,,,,,
972,,,,,,,
973,,,,,,,
974,,,,,,,
975,,,,,,,
976,,,,,,,
977,,,,,,,
978,,,,,,,
979,,,,,,,
980,,,,,,,
981,,,,,,,
982,,,,,,,
983,,,,,,,
984,,,,,,,
985,,,,,,,
986,,,,,,,
987,,,,,,,
988,,,,,,,
989,,,,,,,
990,,,,,,,
991,,,,,,,
992,,,,,,,
993,,,,,,,
994,,,,,,,
995,,,,,,,
996,,,,,,,
997,,,,,,,
998,,,,,,,
999,,,,,,,
1000,,,,,,,
1001,,,,,,,
1002,,,,,,,
1003,,,,,,,
1004,,,,,,,
1005,,,,,,,
1006,,,,,,,
1007,,,,,,,
1008,,,,,,,
1009,,,,,,,
1010,,,,,,,
1011,,,,,,,
1012,,,,,,,
1013,,,,,,,
1014,,,,,,,
1015,,,,,,,
1016,,,,,,,
1017,,,,,,,
1018,,,,,,,
1019,,,,,,,
1020,,,,,,,
1021,,,,,,,
1022,,,,,,,
1023,,,,,,,
1024,,,,,,,
1025,"Proprietary, Free open source",,,AMBER[1],,,
1026,"Proprietary, gratis, commercial",,,Abalone,,,
1027,"Proprietary, commercial, gratis trial",,,ADF,,,
1028,Mixed: free open source (GNU GPL) & commercial,,,Ascalaph Designer,,,
1029,Free open source GNU GPL,,,Avogadro,,,
1030,Proprietary,,,BOSS,,,
1031,"Proprietary, commercial",,,CHARMM,,,
1032,Proprietary,,,CHEMKIN,,,
1033,Free open source GNU GPLv2 or later,,,CP2K,,,
1034,"Proprietary, commercial or gratis",,,Desmond,,,
1035,"Proprietary, trial available",,,Discovery Studio,,,
1036,"Proprietary, commercial or gratis",,,fold.it,,,
1037,"Proprietary, commercial or gratis",,,FoldX,,,
1038,Free open source GNU GPL,,,GROMACS,,,
1039,"Proprietary, commercial",,,GROMOS,,,
1040,"Free open source, GNU GPLv2",,,LAMMPS,,,
1041,Proprietary,,,MacroModel,,,
1042,"Proprietary, trial available",,,MAPS[4],,,
1043,"Proprietary, trial available",,,Materials Studio,,,
1044,"Proprietary, free trial available",,,MBN Explorer[5] + MBN Studio,,,
1045,Free open source GNU GPL,,,MDynaMix,,,
1046,Free open source,,,ms2,,,
1047,Proprietary,,,MOE,,,
1048,Free open source,,,Orac,,,
1049,"Proprietary, free academic use, source code",,,NAMD + VMD,,,
1050,"Free open source, Educational Community License version 2.0",,,NWChem,,,
1051,Proprietary,,,Protein Local Optimization Program,,,
1052,Free open source GNU GPLv2 or later,,,Q,,,
1053,"Proprietary, gratis",,,SAMSON,,,
1054,Proprietary,,,Scigress,,,
1055,"Proprietary, free trial available",,,Spartan,,,
1056,"Proprietary, trial licenses available",,,TeraChem,,,
1057,"Proprietary, gratis",,,TINKER,,,
1058,Proprietary,,,Tremolo-X,,,
1059,"Proprietary, free academic use",,,UCSF Chimera,,,
1060,Proprietary,,,YASARA,,,
1061,"Free, BSD",,"Computes Smith-Waterman gapped alignments and mapping qualities on one or more GPUs. Supports BS-seq alignments. Processes 100,000 to 500,000 reads per second (varies with data, hardware, and configured sensitivity).",Arioc,,,
1062,"Free, GPL",,"A GPGPU accelerated Burrows-Wheeler transform (FM-index) short read alignment program based on BWA, supports alignment of indels with gap openings and extensions.",BarraCUDA,,,
1063,"Free, BSD",,"Uses a short kmers to rapidly index genome; no size or scaffold count limit. Higher sensitivity and specificity than Burrows-Wheeler aligners, with similar or greater speed. Performs affine-transform-optimized global alignment, which is slower but more accurate than Smith-Waterman. Handles Illumina, 454, PacBio, Sanger, and Ion Torrent data. Splice-aware; capable of processing long indels and RNA-seq. Pure Java; runs on any platform. Used by the Joint Genome Institute.",BBMap,,,
1064,"Free, GPL",,"Explicit time and accuracy tradeoff with a prior accuracy estimation, supported by indexing the reference sequences. Optimally compresses indexes. Can handle billions of short reads. Can handle insertions, deletions, SNPs, and color errors (can map ABI SOLiD color space reads). Performs a full Smith Waterman alignment.",BFAST,,,
1065,"Free, GPL 3",,"Runs the Burrows-Wheeler Aligner-BWA on a Hadoop cluster. It supports the algorithms BWA-MEM, BWA-ALN, and BWA-SW, working with paired and single reads. It implies an important reduction in the computational time when running in a Hadoop cluster, adding scalability and fault-tolerance.",BigBWA,,,
1066,,,"BLAST's nucleotide alignment program, slow and not accurate for short reads, and uses a sequence database (EST, Sanger sequence) rather than a reference genome.",BLASTN,,,
1067,"Proprietary, freeware for academic and noncommercial use",,Made by Jim Kent. Can handle one mismatch in initial alignment step.,BLAT,,,
1068,"Free, Artistic",,"Uses a Burrows-Wheeler transform to create a permanent, reusable index of the genome; 1.3 GB memory footprint for human genome. Aligns more than 25 million Illumina reads in 1 CPU hour. Supports Maq-like and SOAP-like alignment policies",Bowtie,,,
1069,"Free, GPL",,Uses a Burrows-Wheeler transform to create an index of the genome. It's a bit slower than Bowtie but allows indels in alignment.,BWA,,,
1070,"Free, GPL",,"A probabilistic short read aligner based on the use of position specific scoring matrices (PSSM). The aligner is adaptable in the sense that it can take into account the quality scores of the reads and models of data specific biases, such as those observed in Ancient DNA, PAR-CLIP data or genomes with biased nucleotide compositions.[39]",BWA-PSSM,,,
1071,"Proprietary, freeware for academic and noncommercial use",,"Quantify and manage large quantities of short-read sequence data. CASHX pipeline contains a set of tools that can be used together, or separately as modules. This algorithm is very accurate for perfect hits to a reference genome.",CASHX,,,
1072,"Free, Artistic",,Short-read mapping using Hadoop MapReduce,Cloudburst,,,
1073,,,Short-read alignment error correction using GPUs.,CUDA-EC,,,
1074,"Free, GPL",,A CUDA compatible short read aligner to large genomes based on Burrows-Wheeler transform,CUSHAW,,,
1075,"Free, GPL",,"Gapped short-read and long-read alignment based on maximal exact match seeds. This aligner supports both base-space (e.g. from Illumina, 454, Ion Torrent and PacBio sequencers) and ABI SOLiD color-space read alignments.",CUSHAW2,,,
1076,"Free, GPL",,GPU-accelerated CUSHAW2 short-read aligner.,CUSHAW2-GPU,,,
1077,"Free, GPL",,Sensitive and accurate base-space and color-space short-read alignment with hybrid seeding,CUSHAW3,,,
1078,"Free, BSD",,"Read mapping alignment software that implements cache obliviousness to minimize main/cache memory transfers like mrFAST and mrsFAST, however designed for the SOLiD sequencing platform (color space reads). It also returns all possible map locations for improved structural variation discovery.",drFAST,,,
1079,,,Implemented by Illumina. Includes ungapped alignment with a finite read length.,ELAND,,,
